"url","title","date_raw","date_iso","section","summary","fingerprint","content_chars","scraped_at"
"https://transport.vic.gov.au/help-and-support/public-transport-ticketing-help/refund-a-myki-or-ticket","Refund a myki or ticket","","","help-and-support","You can also replace a myki, paper ticket or student ID , including transferring the balance.","e1ad5a7c171be3b99d170dd8f732e13de4551b48","1482","2025-09-24T04:10:50Z"
"https://www.ptv.vic.gov.au/tickets/myki-upgrade/new-readers-same-myki/nochrome","New readers, same myki","","","tickets","Following a successful public trial of myki payments on new ticket readers, we have begun progressively installing new ticket readers across the rail network, line-by-line.","34af63e5c6e395c96e8aaa9eb0eb252dbf45f7ac","4171","2025-09-24T04:10:57Z"
"https://transport.vic.gov.au/help-and-support/public-transport-ticketing-help/replace-a-myki-ticket-or-student-id","Replace a myki, ticket or student ID","","","help-and-support","Replace a myki, travel pass, ticket or student ID, including expired mykis. In most cases, you can also transfer the balance.","a31acc8a287c09c9e658c7e587e5054664ea4a95","746","2025-09-24T04:10:59Z"
"https://transport.vic.gov.au/tickets-and-myki/myki/myki-money-and-myki-pass","myki Money and myki Pass","","","tickets-and-myki","Pay as you go with myki Money, or buy consecutive days with a myki Pass.","95fa32fc9114b59eb961a4f779e0b570c29650d8","3352","2025-09-24T04:11:01Z"
"https://transport.vic.gov.au/tickets-and-myki/myki/top-up-your-myki/auto-top-up","Auto Top Up","","","tickets-and-myki","Choose a minimum myki Money balance and set a recurring myki top up amount.","e01c6fe7411e96a7bedbf67a0a746f2aca4ce35b","1075","2025-09-24T04:11:03Z"
"https://transport.vic.gov.au/tickets-and-myki/myki/myki-types","myki types","","","tickets-and-myki","Choose the myki that best suits your eligibility and travel requirements.","9ff3646a0d150e31fb2b7c2561a135fa81a3cf6d","781","2025-09-24T04:11:06Z"
"https://transport.vic.gov.au/help-and-support/public-transport-ticketing-help/extend-an-expiring-myki","Extend an expiring myki","","","help-and-support","If your myki is nearing its expiry day, scan it before tapping on to travel.","3ec588179ccb2419ebc6232fb0dc37ef94d6c92a","2686","2025-09-24T04:11:08Z"
"https://transport.vic.gov.au/tickets-and-myki/myki/top-up-your-myki","Top up your myki","","","tickets-and-myki","Use a range of physical and online options to top up your myki.","a6bc8ed652b36b36346f779d06b4dc9958e257f6","679","2025-09-24T04:11:10Z"
"https://transport.vic.gov.au/tickets-and-myki/myki","Your ticket to travel","","","tickets-and-myki","Use myki on trains, trams and buses in Melbourne, and some parts of regional Victoria.","8ba0a536037253f61cdee5754839197f3c52f5ff","914","2025-09-24T04:11:12Z"
"https://transport.vic.gov.au/help-and-support/public-transport-ticketing-help/mobile-myki-frequently-asked-questions","Mobile myki frequently asked questions","","","help-and-support","","2178efe67af39db82301084fbca15a6f87410828","1776","2025-09-24T04:11:14Z"
